Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i7-8700K,1,123,2,http://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,BX80673I97940X,Intel,Core i9-7940X,2,118,1,http://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz
CPU,BX80673I97920X,Intel,Core i9-7920X,3,114,19,http://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz
CPU,BX80673I97900X,Intel,Core i9-7900X,4,113,622,http://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936
CPU,BX80673I97980X,Intel,Core i9-7980XE,5,110,6,http://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz
CPU,BX80673I77820X,Intel,Core i7-7820X,6,108,1226,http://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,YD195XA8AEWOF,AMD,Ryzen TR 1950X,7,107,510,http://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932
CPU,BX80671I76950X,Intel,Core i7-6950X,8,101,1400,http://cpu.userbenchmark.com/Intel-Core-i7-6950X/Rating/3604
CPU,BX80677I77700K,Intel,Core i7-7700K,9,101,81778,http://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647
CPU,BX80677I77740X,Intel,Core i7-7740X,10,100,273,http://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz
CPU,BX80671I76900K,Intel,Core i7-6900K,11,99.3,1630,http://cpu.userbenchmark.com/Intel-Core-i7-6900K/Rating/3605
CPU,BX80673I77800X,Intel,Core i7-7800X,12,98.5,886,http://cpu.userbenchmark.com/SpeedTest/304816/IntelR-CoreTM-i7-7800X-CPU---350GHz
CPU,YD192XA8AEWOF,AMD,Ryzen TR 1920X,13,97.6,60,http://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934
CPU,BX80677I57640X,Intel,Core i5-7640X,14,96.3,40,http://cpu.userbenchmark.com/SpeedTest/310543/IntelR-CoreTM-i5-7640X-CPU---400GHz
CPU,BX80671I76850K,Intel,Core i7-6850K,15,96.2,5449,http://cpu.userbenchmark.com/Intel-Core-i7-6850K/Rating/3606
CPU,BX80684I58400,Intel,Core i5-8400,16,95.9,1,http://cpu.userbenchmark.com/Intel-Core-i5-8400/Rating/3939
CPU,YD190XA8AEWOF,AMD,Ryzen TR 1900X,17,95.7,29,http://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor
CPU,BX80677I57600K,Intel,Core i5-7600K,18,95.7,27572,http://cpu.userbenchmark.com/Intel-Core-i5-7600K/Rating/3885
CPU,,Intel,Core i3-8350K,19,94.2,2,http://cpu.userbenchmark.com/Intel-Core-i3-8350K/Rating/3935
CPU,BX80662I76700K,Intel,Core i7-6700K,20,92,145030,http://cpu.userbenchmark.com/Intel-Core-i7-6700K/Rating/3502
CPU,YD180XBCAEWOF,AMD,Ryzen 7 1800X,21,91.5,7043,http://cpu.userbenchmark.com/AMD-Ryzen-7-1800X/Rating/3916
CPU,BX80648I75960X,Intel,Core i7-5960X,22,90.5,4614,http://cpu.userbenchmark.com/Intel-Core-i7-5960X/Rating/2580
CPU,BX80671I76800K,Intel,Core i7-6800K,23,90.4,10645,http://cpu.userbenchmark.com/Intel-Core-i7-6800K/Rating/3607
CPU,BX80662I56600K,Intel,Core i5-6600K,24,88.8,84543,http://cpu.userbenchmark.com/Intel-Core-i5-6600K/Rating/3503
CPU,BX80648I75930K,Intel,Core i7-5930K,25,88.4,7655,http://cpu.userbenchmark.com/Intel-Core-i7-5930K/Rating/2578
CPU,YD170XBCAEWOF,AMD,Ryzen 7 1700X,26,87.8,10868,http://cpu.userbenchmark.com/AMD-Ryzen-7-1700X/Rating/3915
