Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD6001FZWX,WD,Black 6TB (2015),1,113,579,http://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,WD5001FZWX,WD,Black 5TB (2015),2,108,685,http://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907
HDD,WD6002FZWX,WD,Black 6TB (2016),3,108,192,http://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),4,104,86,http://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD4004FZWX,WD,Black 4TB (2016),5,100,906,http://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,ST10000DM0004,Seagate,Barracuda Pro 10TB (2016),6,100,16,http://hdd.userbenchmark.com/Seagate-Barracuda-Pro-10TB-2016/Rating/3901
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,7,100,1790,http://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,ST2000DM006,Seagate,Barracuda 2TB (2016),8,97.7,15580,http://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,ST3300657SS,Seagate,Cheetah 15K.7 SAS 300GB,9,97.1,236,http://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),10,97,4958,http://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,WD5000HHTZ,WD,VelociRaptor 500GB,11,96.2,1622,http://hdd.userbenchmark.com/SpeedTest/1434/WDC-WD5000HHTZ-04N21V0
HDD,HDWD120XZSTA,Toshiba,P300 2TB,12,95.7,3206,http://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120EZSTA,Toshiba,P300 2TB,12,95.7,3206,http://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120UZSVA,Toshiba,P300 2TB,12,95.7,3206,http://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD130XZSTA,Toshiba,P300 3TB,13,95.4,3324,http://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130EZSTA,Toshiba,P300 3TB,13,95.4,3324,http://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130UZSVA,Toshiba,P300 3TB,13,95.4,3324,http://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,WD5000BHTZ,WD,VelociRaptor 2.5" 500GB,14,94.4,37,http://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,WD2500HHTZ,WD,VelociRaptor 250GB,15,93.5,519,http://hdd.userbenchmark.com/SpeedTest/139/WDC-WD2500HHTZ-04N21V0
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),16,93.2,17547,http://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,ST6000DM001,Seagate,Desktop HDD 6TB (2015),17,92.6,189,http://hdd.userbenchmark.com/SpeedTest/36984/ST6000DM001-1XY17Z
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,18,92.4,22,http://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,ST500DM009,Seagate,Barracuda 500GB (2016),19,92.1,248,http://hdd.userbenchmark.com/Seagate-Barracuda-500GB-2016/Rating/3909
HDD,0S03839,HGST,Deskstar NAS 6TB,20,92,219,http://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,ST6000DM004,Seagate,Barracuda Pro 6TB (2016),21,91.5,20,http://hdd.userbenchmark.com/Seagate-Barracuda-Pro-6TB-2016/Rating/3900
HDD,ST5000DM002,Seagate,Desktop HDD 5TB (2015),22,91,42,http://hdd.userbenchmark.com/SpeedTest/123827/ST5000DM002-1XY17X
HDD,,Toshiba,DT01ACA200 2TB,23,90.9,39437,http://hdd.userbenchmark.com/Toshiba-DT01ACA200-2TB/Rating/2736
HDD,HDWE160XZSTA,Toshiba,X300 6TB,24,90.5,248,http://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HDWE160EZSTA,Toshiba,X300 6TB,24,90.5,248,http://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,25,90.3,65,http://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,25,90.3,65,http://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,WD2003FZEX,WD,Black 2TB (2013),26,89.8,16467,http://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821
HDD,HDWD110XZSTA,Toshiba,P300 1TB,27,89.7,7919,http://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110EZSTA,Toshiba,P300 1TB,27,89.7,7919,http://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110UZSVA,Toshiba,P300 1TB,27,89.7,7919,http://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWE150XZSTA,Toshiba,X300 5TB,28,89.5,573,http://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE150EZSTA,Toshiba,X300 5TB,28,89.5,573,http://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,ST4000VN008,Seagate,IronWolf 4TB (2016),29,89.5,156,http://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906
HDD,ST2000DX002,Seagate,FireCuda SSHD 2TB (2016),30,89.1,5066,http://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-2TB-2016/Rating/3903
HDD,,Toshiba,DT01ACA300 3TB,31,89,12660,http://hdd.userbenchmark.com/Toshiba-DT01ACA300-3TB/Rating/2735
HDD,ST1000DX002,Seagate,FireCuda SSHD 1TB (2016),32,88.8,3269,http://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-1TB-2016/Rating/3902
HDD,ST3000NC002,Seagate,Constellation CS 3TB,33,88.7,85,http://hdd.userbenchmark.com/SpeedTest/5929/ST3000NC002-1DY166
HDD,WD3001FFSX,WD,Red Pro 3TB (2014),34,88.7,96,http://hdd.userbenchmark.com/SpeedTest/27132/WDC-WD3001FFSX-68JNUN0
HDD,ST1000DM003,Seagate,Barracuda 7200.14 1TB,35,88.7,240300,http://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849
HDD,ST3000DM001,Seagate,Barracuda 7200.14 3TB,36,88.6,45177,http://hdd.userbenchmark.com/Seagate-Barracuda-720014-3TB/Rating/1374
HDD,ST6000DX000,Seagate,Desktop HDD 6TB (2014),37,88.1,282,http://hdd.userbenchmark.com/SpeedTest/12188/ST6000DX000-1H217Z
HDD,ST2000DM001,Seagate,Barracuda 7200.14 2TB,38,87.7,130122,http://hdd.userbenchmark.com/Seagate-Barracuda-720014-2TB/Rating/1619
HDD,ST1000VX000,Seagate,Video SV35.6 Series 1TB,39,87.6,2607,http://hdd.userbenchmark.com/SpeedTest/6250/ST1000VX-ST1000VX000-1CU1
HDD,0S03835,HGST,Deskstar NAS 5TB,40,87.4,116,http://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610
HDD,WD10EZEX,WD,Blue 1TB (2012),41,86.9,307569,http://hdd.userbenchmark.com/WD-Blue-1TB-2012/Rating/1779
HDD,ST4000DM005,Seagate,Barracuda 4TB (2016),42,86.6,2185,http://hdd.userbenchmark.com/Seagate-Barracuda-4TB-2016/Rating/3899
HDD,HDWD105XZSTA,Toshiba,HDWD105 500GB,43,86.3,465,http://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105EZSTA,Toshiba,HDWD105 500GB,43,86.3,465,http://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105UZSVA,Toshiba,HDWD105 500GB,43,86.3,465,http://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,ST2000NC001,Seagate,Constellation CS 2TB,44,85.8,104,http://hdd.userbenchmark.com/SpeedTest/10959/ST2000NC001-1DY164
HDD,WD1003FZEX,WD,Black 1TB (2013),45,85.8,36126,http://hdd.userbenchmark.com/WD-Black-1TB-2013/Rating/1822
HDD,WD1002F9YZ,WD,Se 1TB (2013),46,85.7,389,http://hdd.userbenchmark.com/SpeedTest/11078/WDC-WD1002F9YZ-09H1JL0
HDD,HDWE140XZSTA,Toshiba,X300 4TB,47,85.6,622,http://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,HDWE140EZSTA,Toshiba,X300 4TB,47,85.6,622,http://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,ST3000VX000,Seagate,Video SV35.6 Series 3TB,48,85.5,964,http://hdd.userbenchmark.com/SpeedTest/4903/ST3000VX000-9YW166
HDD,PH3500U-1I72,Toshiba,MD04ACA500 5TB,49,85.3,675,http://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526
HDD,ST2000VX000,Seagate,Video SV35.6 Series 2TB,50,85.1,1841,http://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816
HDD,ST1000VN002,Seagate,IronWolf 1TB (2016),51,85,32,http://hdd.userbenchmark.com/Seagate-IronWolf-1TB-2016/Rating/3904
HDD,ST1000DX001,Seagate,Desktop SSHD 1TB,52,84.7,18790,http://hdd.userbenchmark.com/Seagate-Desktop-SSHD-1TB/Rating/1784
HDD,,Toshiba,DT01ACA100 1TB,53,84.4,73580,http://hdd.userbenchmark.com/Toshiba-DT01ACA100-1TB/Rating/2737
HDD,PH3600U-1I72,Toshiba,MD04ACA600 6TB,54,84.1,35,http://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600
HDD,ST2000DX001,Seagate,Desktop SSHD 2TB,55,84.1,17555,http://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,STCL2000400,Seagate,Desktop SSHD 2TB,55,84.1,17555,http://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,WD3003FZEX,WD,Black 3TB (2013),56,83.5,3226,http://hdd.userbenchmark.com/SpeedTest/5002/WDC-WD3003FZEX-00Z4SA0
HDD,WD4000F9YZ,WD,Se 4TB,57,83.5,295,http://hdd.userbenchmark.com/WD-Se-4TB/Rating/1823
HDD,,WD,WD5000AZLX-00K4KA0 500GB,58,83.4,2673,http://hdd.userbenchmark.com/SpeedTest/5409/WDC-WD5000AZLX-00K4KA0
HDD,ST1000NM0033,Seagate,Constellation ES.3 1TB,59,83.2,1255,http://hdd.userbenchmark.com/SpeedTest/7297/ST1000NM0033-9ZM173
HDD,WD5003AZEX,WD,Black 500GB (2012),60,83,4314,http://hdd.userbenchmark.com/SpeedTest/2070/WDC-WD5003AZEX-00K1GA0
HDD,WD4003FZEX,WD,Black 4TB (2013),61,82.9,4087,http://hdd.userbenchmark.com/SpeedTest/3505/WDC-WD4003FZEX-00Z4SA0
HDD,WD80EFZX,WD,Red 8TB (2016),62,82.4,273,http://hdd.userbenchmark.com/SpeedTest/124577/WDC-WD80EFZX-68UW8N0
HDD,,Seagate,ST4000DM 000-1CD168 4TB,63,82.1,6,http://hdd.userbenchmark.com/SpeedTest/2310/ST4000DM-000-1CD168
HDD,PH3400U-1I72,Toshiba,MD04ACA400 4TB,64,82.1,977,http://hdd.userbenchmark.com/Toshiba-MD04ACA400-4TB/Rating/3202
HDD,ST3000VN007,Seagate,IronWolf 3TB (2016),65,81.8,65,http://hdd.userbenchmark.com/Seagate-IronWolf-3TB-2016/Rating/3905
HDD,WD60EZRZ,WD,Blue 6TB (2015),66,81.7,477,http://hdd.userbenchmark.com/WD-Blue-6TB-2015/Rating/3910
HDD,ST2000NM0033,Seagate,Constellation ES.3 2TB,67,81.3,514,http://hdd.userbenchmark.com/SpeedTest/12036/ST2000NM0033-9ZM175
HDD,WD3000FYYZ,WD,Re 3TB (2012),68,80.6,144,http://hdd.userbenchmark.com/WD-Re-3TB-2012/Rating/2665
HDD,WD4000FYYZ,WD,Re 4TB (2012),69,80.4,351,http://hdd.userbenchmark.com/SpeedTest/1815/WDC-WD4000FYYZ-01UL1B0
HDD,WD2001FFSX,WD,Red Pro 2TB (2014),70,80.3,103,http://hdd.userbenchmark.com/SpeedTest/25063/WDC-WD2001FFSX-68JNU
HDD,WD60EFRX,WD,Red 6TB (2014),71,79.7,1210,http://hdd.userbenchmark.com/WD-Red-6TB-2014/Rating/2663
HDD,,Seagate,ST1500DM003-9YN16G 1.5TB,72,79.6,1211,http://hdd.userbenchmark.com/SpeedTest/2739/ST1500DM003-9YN16G
HDD,WD50EFRX,WD,Red 5TB (2014),73,79.6,175,http://hdd.userbenchmark.com/WD-Red-5TB-2014/Rating/3524
HDD,,Hitachi,HDS723030BLE640 3TB,74,79.6,228,http://hdd.userbenchmark.com/SpeedTest/4601/Hitachi-HDS723030BLE640
HDD,,Hitachi,HDS723020BLE640 2TB,75,79.3,491,http://hdd.userbenchmark.com/SpeedTest/1260/Hitachi-HDS723020BLE640
HDD,WD40EZRZ,WD,Blue 4TB (2015),76,78.5,3170,http://hdd.userbenchmark.com/WD-Blue-4TB-2015/Rating/3523
HDD,,Toshiba,DT01ACA050 500GB,77,78,20234,http://hdd.userbenchmark.com/SpeedTest/1379/TOSHIBA-DT01ACA050
