Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-V6P512BW,Samsung,960 Pro NVMe PCIe M.2 512GB,1,270,6902,http://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,MZVKW512HMJP-00000,Samsung,SM961 NVMe PCIe M.2 512GB,2,268,801,http://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,MZ-V6P2T0BW,Samsung,960 Pro NVMe PCIe M.2 2TB,3,267,223,http://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB
SSD,MZ-V6P1T0BW,Samsung,960 Pro NVMe PCIe M.2 1TB,4,261,1386,http://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB
SSD,SKC1000/480G,Kingston,SKC1000 NVMe PCIe M.2 480GB,5,245,13,http://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,MZ-V6E1T0BW,Samsung,960 Evo NVMe PCIe M.2 1TB,6,238,1746,http://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,7,233,13026,http://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,8,218,25368,http://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,9,217,367,http://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
SSD,SKC1000/240G,Kingston,SKC1000 NVMe PCIe M.2 240GB,10,216,24,http://ssd.userbenchmark.com/SpeedTest/312458/KINGSTON-SKC1000240G
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,11,216,19878,http://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,12,212,3240,http://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,13,210,136,http://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,SKC1000/960G,Kingston,SKC1000 NVMe PCIe M.2 960GB,14,208,3,http://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,15,207,3247,http://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,16,205,63,http://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,17,204,3360,http://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,17,204,3360,http://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,18,203,1494,http://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,19,202,37,http://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,PH240GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 240GB,20,198,392,http://ssd.userbenchmark.com/SpeedTest/179778/Patriot-Hellfire-M2
SSD,RVD400-M22280-256G,Toshiba OCZ,RD400 NVMe PCIe M.2 256GB,21,193,925,http://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,22,189,3293,http://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,23,188,1834,http://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,24,187,4239,http://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,CSSD-F120GBMP500,Corsair,Force MP500 NVMe PCIe M.2 120GB,25,181,1066,http://ssd.userbenchmark.com/SpeedTest/221057/Force-MP500
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,26,178,16047,http://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,,Intel,Optane+ NVMe PCIe 500GB,27,175,25,http://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,,Toshiba,THNSN5256GPU7 TO NVMe PCIe M.2 256GB,28,174,1863,http://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
SSD,ASX8000NP-256GM-C,Adata,SX8000 NVMe PCIe M.2 256GB,29,173,427,http://ssd.userbenchmark.com/SpeedTest/209005/NVMe-ADATA-SX8000NP
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,30,168,1347,http://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,31,167,52,http://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,32,166,1191,http://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,ASX8000NP-512GM-C,Adata,SX8000 NVMe PCIe M.2 512GB,33,164,120,http://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,,Apple,SM0512G PCIe 500GB,34,158,472,http://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,RVD350-FHPX28-480G,OCZ,RevoDrive 350 PCIe 480GB,35,157,226,http://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350
SSD,,Toshiba,THNSN5128GPU7 TO NVMe PCIe M.2 128GB,36,156,639,http://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,,Apple,SM0256G PCIe 251GB,37,150,444,http://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,38,148,16,http://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
