Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,MKNUFDVU240GB,Mushkin,Ventura Ultra USB 3.0 240GB,1,156,26,http://usb.userbenchmark.com/SpeedTest/7528/Mushkin-Ventura-Ultra
USB,MKNUFDVU120GB,Mushkin,Ventura Ultra USB 3.0 120GB,2,140,46,http://usb.userbenchmark.com/SpeedTest/8396/Mushkin-Ventura-Ultra
USB,MKNUFDVU60GB,Mushkin,Ventura Ultra USB 3.0 60GB,3,140,34,http://usb.userbenchmark.com/Mushkin-Ventura-Ultra-USB-30-60GB/Rating/2281
USB,CMFVYGTX3-128GB,Corsair,Flash Voyager GTX USB 3.0 128GB,4,118,52,http://usb.userbenchmark.com/SpeedTest/13691/Corsair-Voyager-GTX
USB,CMFVYGTX3-256GB,Corsair,Flash Voyager GTX USB 3.0 256GB,5,111,40,http://usb.userbenchmark.com/SpeedTest/12583/Corsair-Voyager-GTX
USB,SDCZ88-128G,SanDisk,Extreme Pro USB 3.0 128GB,6,85.8,651,http://usb.userbenchmark.com/SpeedTest/7603/SanDisk-ExtremePro
USB,SDCZ80-064G,SanDisk,Extreme USB 3.0 64GB,7,76.7,3812,http://usb.userbenchmark.com/SanDisk-Extreme-USB-30-64GB/Rating/1459
USB,SDCZ80-032G,SanDisk,Extreme USB 3.0 32GB,8,68.8,2771,http://usb.userbenchmark.com/SanDisk-Extreme-USB-30-32GB/Rating/1466
USB,HXS3/512GB,Kingston,HyperX Savage USB 3.1 512GB,9,67.7,16,http://usb.userbenchmark.com/SpeedTest/80249/Kingston-HyperX-Savage
USB,,Corsair,Voyager GS 126GB,10,62.2,25,http://usb.userbenchmark.com/SpeedTest/7514/Corsair-Voyager-GS
USB,LJDP10-32GCRBEU,Lexar,JumpDrive P10 USB 3.0 32GB,11,61,55,http://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-32GB/Rating/1476
USB,SDCZ80-016G,SanDisk,Extreme USB 3.0 16GB,12,58.5,1151,http://usb.userbenchmark.com/SanDisk-Extreme-USB-30-16GB/Rating/1301
